104.52, 108.11, 111.43, 113.84, 
108.11, 111.43, 113.84, 112.92, 
111.43, 113.84, 112.92, 111.21, 
113.84, 112.92, 111.21, 112.55, 
112.92, 111.21, 112.55, 113.13, 
111.21, 112.55, 113.13, 114.43, 
112.55, 113.13, 114.43, 122.06, 
113.13, 114.43, 122.06, 121.7, 
114.43, 122.06, 121.7, 120.57, 
122.06, 121.7, 120.57, 127.83, 
121.7, 120.57, 127.83, 134.31, 
120.57, 127.83, 134.31, 131.89, 
127.83, 134.31, 131.89, 132.11, 
134.31, 131.89, 132.11, 132.48, 
131.89, 132.11, 132.48, 126.74, 
132.11, 132.48, 126.74, 122.25, 
132.48, 126.74, 122.25, 120.79, 
126.74, 122.25, 120.79, 120.98, 
122.25, 120.79, 120.98, 121.07, 
120.79, 120.98, 121.07, 124.93, 
120.98, 121.07, 124.93, 126.57, 
121.07, 124.93, 126.57, 129, 
124.93, 126.57, 129, 130.6, 
126.57, 129, 130.6, 129.69, 
129, 130.6, 129.69, 127.37, 
130.6, 129.69, 127.37, 128.29, 
129.69, 127.37, 128.29, 127.87, 
127.37, 128.29, 127.87, 129.67, 
128.29, 127.87, 129.67, 129.39, 
127.87, 129.67, 129.39, 127.23, 
129.67, 129.39, 127.23, 126.31, 
129.39, 127.23, 126.31, 125.84, 
127.23, 126.31, 125.84, 126.13, 
126.31, 125.84, 126.13, 125.16, 
125.84, 126.13, 125.16, 125.92, 
126.13, 125.16, 125.92, 127.22, 
125.16, 125.92, 127.22, 127.68, 
125.92, 127.22, 127.68, 129.85, 
127.22, 127.68, 129.85, 132.96, 
127.68, 129.85, 132.96, 129.74, 
129.85, 132.96, 129.74, 129.84, 
132.96, 129.74, 129.84, 127.69, 
129.74, 129.84, 127.69, 111.32, 
129.84, 127.69, 111.32, 122.84, 
127.69, 111.32, 122.84, 126.11, 
111.32, 122.84, 126.11, 124.17, 
122.84, 126.11, 124.17, 125.45, 
126.11, 124.17, 125.45, 124.77, 
124.17, 125.45, 124.77, 127.2, 
125.45, 124.77, 127.2, 127.89, 
124.77, 127.2, 127.89, 129.28, 
127.2, 127.89, 129.28, 133.07, 
127.89, 129.28, 133.07, 132.18, 
129.28, 133.07, 132.18, 135.38, 
133.07, 132.18, 135.38, 138.33, 
132.18, 135.38, 138.33, 141.6, 
135.38, 138.33, 141.6, 146.54, 
138.33, 141.6, 146.54, 148.02, 
141.6, 146.54, 148.02, 158.35, 
146.54, 148.02, 158.35, 167.51, 
148.02, 158.35, 167.51, 171.37, 
158.35, 167.51, 171.37, 183.73, 
167.51, 171.37, 183.73, 195.52, 
171.37, 183.73, 195.52, 199.84, 
183.73, 195.52, 199.84, 185.46, 
195.52, 199.84, 185.46, 177.58, 
199.84, 185.46, 177.58, 186.44, 
185.46, 177.58, 186.44, 188.72, 
177.58, 186.44, 188.72, 195.37, 
186.44, 188.72, 195.37, 201.5, 
188.72, 195.37, 201.5, 198.65, 
195.37, 201.5, 198.65, 205.55, 
201.5, 198.65, 205.55, 203.25, 
198.65, 205.55, 203.25, 204.16, 
205.55, 203.25, 204.16, 212.03, 
203.25, 204.16, 212.03, 227.65, 
204.16, 212.03, 227.65, 260.9, 
212.03, 227.65, 260.9, 267.87, 
227.65, 260.9, 267.87, 294.77, 
260.9, 267.87, 294.77, 333.74, 
267.87, 294.77, 333.74, 338.13, 
294.77, 333.74, 338.13, 335.45, 
333.74, 338.13, 335.45, 340.03, 
338.13, 335.45, 340.03, 358.66, 
