127.87, 129.67, 129.39, 127.23, 126.31, 125.84, 126.13, 125.16, 125.92, 127.22, 127.68, 129.85, 132.96, 129.74, 129.84, 127.69, 111.32, 122.84, 126.11, 
129.67, 129.39, 127.23, 126.31, 125.84, 126.13, 125.16, 125.92, 127.22, 127.68, 129.85, 132.96, 129.74, 129.84, 127.69, 111.32, 122.84, 126.11, 124.17, 
129.39, 127.23, 126.31, 125.84, 126.13, 125.16, 125.92, 127.22, 127.68, 129.85, 132.96, 129.74, 129.84, 127.69, 111.32, 122.84, 126.11, 124.17, 125.45, 
127.23, 126.31, 125.84, 126.13, 125.16, 125.92, 127.22, 127.68, 129.85, 132.96, 129.74, 129.84, 127.69, 111.32, 122.84, 126.11, 124.17, 125.45, 124.77, 
126.31, 125.84, 126.13, 125.16, 125.92, 127.22, 127.68, 129.85, 132.96, 129.74, 129.84, 127.69, 111.32, 122.84, 126.11, 124.17, 125.45, 124.77, 127.2, 
125.84, 126.13, 125.16, 125.92, 127.22, 127.68, 129.85, 132.96, 129.74, 129.84, 127.69, 111.32, 122.84, 126.11, 124.17, 125.45, 124.77, 127.2, 127.89, 
126.13, 125.16, 125.92, 127.22, 127.68, 129.85, 132.96, 129.74, 129.84, 127.69, 111.32, 122.84, 126.11, 124.17, 125.45, 124.77, 127.2, 127.89, 129.28, 
125.16, 125.92, 127.22, 127.68, 129.85, 132.96, 129.74, 129.84, 127.69, 111.32, 122.84, 126.11, 124.17, 125.45, 124.77, 127.2, 127.89, 129.28, 133.07, 
125.92, 127.22, 127.68, 129.85, 132.96, 129.74, 129.84, 127.69, 111.32, 122.84, 126.11, 124.17, 125.45, 124.77, 127.2, 127.89, 129.28, 133.07, 132.18, 
127.22, 127.68, 129.85, 132.96, 129.74, 129.84, 127.69, 111.32, 122.84, 126.11, 124.17, 125.45, 124.77, 127.2, 127.89, 129.28, 133.07, 132.18, 135.38, 
127.68, 129.85, 132.96, 129.74, 129.84, 127.69, 111.32, 122.84, 126.11, 124.17, 125.45, 124.77, 127.2, 127.89, 129.28, 133.07, 132.18, 135.38, 138.33, 
129.85, 132.96, 129.74, 129.84, 127.69, 111.32, 122.84, 126.11, 124.17, 125.45, 124.77, 127.2, 127.89, 129.28, 133.07, 132.18, 135.38, 138.33, 141.6, 
132.96, 129.74, 129.84, 127.69, 111.32, 122.84, 126.11, 124.17, 125.45, 124.77, 127.2, 127.89, 129.28, 133.07, 132.18, 135.38, 138.33, 141.6, 146.54, 
129.74, 129.84, 127.69, 111.32, 122.84, 126.11, 124.17, 125.45, 124.77, 127.2, 127.89, 129.28, 133.07, 132.18, 135.38, 138.33, 141.6, 146.54, 148.02, 
129.84, 127.69, 111.32, 122.84, 126.11, 124.17, 125.45, 124.77, 127.2, 127.89, 129.28, 133.07, 132.18, 135.38, 138.33, 141.6, 146.54, 148.02, 158.35, 
127.69, 111.32, 122.84, 126.11, 124.17, 125.45, 124.77, 127.2, 127.89, 129.28, 133.07, 132.18, 135.38, 138.33, 141.6, 146.54, 148.02, 158.35, 167.51, 
111.32, 122.84, 126.11, 124.17, 125.45, 124.77, 127.2, 127.89, 129.28, 133.07, 132.18, 135.38, 138.33, 141.6, 146.54, 148.02, 158.35, 167.51, 171.37, 
122.84, 126.11, 124.17, 125.45, 124.77, 127.2, 127.89, 129.28, 133.07, 132.18, 135.38, 138.33, 141.6, 146.54, 148.02, 158.35, 167.51, 171.37, 183.73, 
126.11, 124.17, 125.45, 124.77, 127.2, 127.89, 129.28, 133.07, 132.18, 135.38, 138.33, 141.6, 146.54, 148.02, 158.35, 167.51, 171.37, 183.73, 195.52, 
124.17, 125.45, 124.77, 127.2, 127.89, 129.28, 133.07, 132.18, 135.38, 138.33, 141.6, 146.54, 148.02, 158.35, 167.51, 171.37, 183.73, 195.52, 199.84, 
125.45, 124.77, 127.2, 127.89, 129.28, 133.07, 132.18, 135.38, 138.33, 141.6, 146.54, 148.02, 158.35, 167.51, 171.37, 183.73, 195.52, 199.84, 185.46, 
124.77, 127.2, 127.89, 129.28, 133.07, 132.18, 135.38, 138.33, 141.6, 146.54, 148.02, 158.35, 167.51, 171.37, 183.73, 195.52, 199.84, 185.46, 177.58, 
127.2, 127.89, 129.28, 133.07, 132.18, 135.38, 138.33, 141.6, 146.54, 148.02, 158.35, 167.51, 171.37, 183.73, 195.52, 199.84, 185.46, 177.58, 186.44, 
