"['24', '24', '28', '26', '29', '63', '100', '68', '51', '41', '37', '44', '47', '53', '1']"
"['24', '28', '26', '29', '63', '100', '68', '51', '41', '37', '44', '47', '53', '65', '1']"
"['28', '26', '29', '63', '100', '68', '51', '41', '37', '44', '47', '53', '65', '64', '1']"
"['26', '29', '63', '100', '68', '51', '41', '37', '44', '47', '53', '65', '64', '65', '1']"
"['29', '63', '100', '68', '51', '41', '37', '44', '47', '53', '65', '64', '65', '58', '0']"
"['63', '100', '68', '51', '41', '37', '44', '47', '53', '65', '64', '65', '58', '49', '1']"
"['100', '68', '51', '41', '37', '44', '47', '53', '65', '64', '65', '58', '49', '52', '1']"
"['68', '51', '41', '37', '44', '47', '53', '65', '64', '65', '58', '49', '52', '61', '1']"
"['51', '41', '37', '44', '47', '53', '65', '64', '65', '58', '49', '52', '61', '65', '1']"
"['41', '37', '44', '47', '53', '65', '64', '65', '58', '49', '52', '61', '65', '63', '1']"
"['37', '44', '47', '53', '65', '64', '65', '58', '49', '52', '61', '65', '63', '61', '0']"
"['44', '47', '53', '65', '64', '65', '58', '49', '52', '61', '65', '63', '61', '67', '1']"
"['47', '53', '65', '64', '65', '58', '49', '52', '61', '65', '63', '61', '67', '143.92592592592592', '1']"
"['53', '65', '64', '65', '58', '49', '52', '61', '65', '63', '61', '67', '143.92592592592592', '205.96296296296296', '0']"
"['65', '64', '65', '58', '49', '52', '61', '65', '63', '61', '67', '143.92592592592592', '205.96296296296296', '141.44444444444443', '1']"
"['64', '65', '58', '49', '52', '61', '65', '63', '61', '67', '143.92592592592592', '205.96296296296296', '141.44444444444443', '109.18518518518518', '1']"
"['65', '58', '49', '52', '61', '65', '63', '61', '67', '143.92592592592592', '205.96296296296296', '141.44444444444443', '109.18518518518518', '116.62962962962962', '1']"
"['58', '49', '52', '61', '65', '63', '61', '67', '143.92592592592592', '205.96296296296296', '141.44444444444443', '109.18518518518518', '116.62962962962962', '104.22222222222221', '0']"
"['49', '52', '61', '65', '63', '61', '67', '143.92592592592592', '205.96296296296296', '141.44444444444443', '109.18518518518518', '116.62962962962962', '104.22222222222221', '91.81481481481481', '1']"
"['52', '61', '65', '63', '61', '67', '143.92592592592592', '205.96296296296296', '141.44444444444443', '109.18518518518518', '116.62962962962962', '104.22222222222221', '91.81481481481481', '94.29629629629629', '1']"
"['61', '65', '63', '61', '67', '143.92592592592592', '205.96296296296296', '141.44444444444443', '109.18518518518518', '116.62962962962962', '104.22222222222221', '91.81481481481481', '94.29629629629629', '96.77777777777777', '1']"
"['65', '63', '61', '67', '143.92592592592592', '205.96296296296296', '141.44444444444443', '109.18518518518518', '116.62962962962962', '104.22222222222221', '91.81481481481481', '94.29629629629629', '96.77777777777777', '163.77777777777777', '1']"
"['63', '61', '67', '143.92592592592592', '205.96296296296296', '141.44444444444443', '109.18518518518518', '116.62962962962962', '104.22222222222221', '91.81481481481481', '94.29629629629629', '96.77777777777777', '163.77777777777777', '248.14814814814815', '1']"
"['61', '67', '143.92592592592592', '205.96296296296296', '141.44444444444443', '109.18518518518518', '116.62962962962962', '104.22222222222221', '91.81481481481481', '94.29629629629629', '96.77777777777777', '163.77777777777777', '248.14814814814815', '220.85185185185185', '1']"
"['67', '143.92592592592592', '205.96296296296296', '141.44444444444443', '109.18518518518518', '116.62962962962962', '104.22222222222221', '91.81481481481481', '94.29629629629629', '96.77777777777777', '163.77777777777777', '248.14814814814815', '220.85185185185185', '166.25925925925927', '0']"
"['143.92592592592592', '205.96296296296296', '141.44444444444443', '109.18518518518518', '116.62962962962962', '104.22222222222221', '91.81481481481481', '94.29629629629629', '96.77777777777777', '163.77777777777777', '248.14814814814815', '220.85185185185185', '166.25925925925927', '143.92592592592592', '0']"
"['205.96296296296296', '141.44444444444443', '109.18518518518518', '116.62962962962962', '104.22222222222221', '91.81481481481481', '94.29629629629629', '96.77777777777777', '163.77777777777777', '248.14814814814815', '220.85185185185185', '166.25925925925927', '143.92592592592592', '151.37037037037035', '1']"
"['141.44444444444443', '109.18518518518518', '116.62962962962962', '104.22222222222221', '91.81481481481481', '94.29629629629629', '96.77777777777777', '163.77777777777777', '248.14814814814815', '220.85185185185185', '166.25925925925927', '143.92592592592592', '151.37037037037035', '136.48148148148147', '1']"
"['109.18518518518518', '116.62962962962962', '104.22222222222221', '91.81481481481481', '94.29629629629629', '96.77777777777777', '163.77777777777777', '248.14814814814815', '220.85185185185185', '166.25925925925927', '143.92592592592592', '151.37037037037035', '136.48148148148147', '121.5925925925926', '1']"
"['116.62962962962962', '104.22222222222221', '91.81481481481481', '94.29629629629629', '96.77777777777777', '163.77777777777777', '248.14814814814815', '220.85185185185185', '166.25925925925927', '143.92592592592592', '151.37037037037035', '136.48148148148147', '121.5925925925926', '173.7037037037037', '0']"
"['104.22222222222221', '91.81481481481481', '94.29629629629629', '96.77777777777777', '163.77777777777777', '248.14814814814815', '220.85185185185185', '166.25925925925927', '143.92592592592592', '151.37037037037035', '136.48148148148147', '121.5925925925926', '173.7037037037037', '158.8148148148148', '0']"
"['91.81481481481481', '94.29629629629629', '96.77777777777777', '163.77777777777777', '248.14814814814815', '220.85185185185185', '166.25925925925927', '143.92592592592592', '151.37037037037035', '136.48148148148147', '121.5925925925926', '173.7037037037037', '158.8148148148148', '171.22222222222223', '0']"
"['94.29629629629629', '96.77777777777777', '163.77777777777777', '248.14814814814815', '220.85185185185185', '166.25925925925927', '143.92592592592592', '151.37037037037035', '136.48148148148147', '121.5925925925926', '173.7037037037037', '158.8148148148148', '171.22222222222223', '121.5925925925926', '1']"
"['96.77777777777777', '163.77777777777777', '248.14814814814815', '220.85185185185185', '166.25925925925927', '143.92592592592592', '151.37037037037035', '136.48148148148147', '121.5925925925926', '173.7037037037037', '158.8148148148148', '171.22222222222223', '121.5925925925926', '121.5925925925926', '1']"
"['163.77777777777777', '248.14814814814815', '220.85185185185185', '166.25925925925927', '143.92592592592592', '151.37037037037035', '136.48148148148147', '121.5925925925926', '173.7037037037037', '158.8148148148148', '171.22222222222223', '121.5925925925926', '121.5925925925926', '111.66666666666666', '1']"
"['248.14814814814815', '220.85185185185185', '166.25925925925927', '143.92592592592592', '151.37037037037035', '136.48148148148147', '121.5925925925926', '173.7037037037037', '158.8148148148148', '171.22222222222223', '121.5925925925926', '121.5925925925926', '111.66666666666666', '109.18518518518518', '0']"
