"['104.52', '108.11', '111.43', '113.84', '112.92', '111.21', '112.55', '113.13', '114.43', '122.06', '121.7', '120.57', '127.83', '1']"
"['127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '1']"
"['111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '1']"
"['122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '1']"
"['126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '1']"
"['124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '1']"
"['125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '1']"
"['124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '1']"
"['127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '1']"
"['127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '1']"
"['129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '1']"
"['133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '0']"
"['132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '0']"
"['135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '1']"
"['138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '1']"
"['141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '1']"
"['146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '1']"
"['148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '0']"
"['158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '1']"
"['167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '0']"
"['171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '1']"
"['183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '1']"
"['195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '1']"
"['199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '1']"
"['185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '1']"
"['177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '1']"
"['186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '1']"
"['188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '1']"
"['195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '0']"
"['201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '1']"
"['198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '1']"
"['205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '1']"
"['203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '1']"
"['204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '1']"
"['212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '0']"
"['227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '1']"
"['260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '1']"
"['267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '0']"
"['294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '1']"
"['333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '1']"
"['338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '1']"
"['335.45', '340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '0']"
"['340.03', '358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '1']"
"['358.66', '406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '1']"
"['406.2', '413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '1']"
"['413.8', '456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '1']"
"['456.96', '444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1']"
"['444.98', '504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1']"
"['504.52', '653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '0']"
"['653.75', '545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '0']"
"['545.07', '644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1']"
"['644.17', '694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1']"
"['694.61', '772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1']"
"['772.31', '768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1091.44', '0']"
"['768.95', '773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1091.44', '992.26', '0']"
"['773.23', '853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1091.44', '992.26', '776.36', '0']"
"['853.12', '901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1091.44', '992.26', '776.36', '730.1', '1']"
"['901.68', '963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1091.44', '992.26', '776.36', '730.1', '817.61', '1']"
"['963.83', '1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1091.44', '992.26', '776.36', '730.1', '817.61', '897.54', '1']"
"['1049.35', '1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1091.44', '992.26', '776.36', '730.1', '817.61', '897.54', '946.85', '0']"
"['1102.54', '1094.99', '951.58', '1031.68', '1080.61', '1091.44', '992.26', '776.36', '730.1', '817.61', '897.54', '946.85', '873.03', '1']"
"['1094.99', '951.58', '1031.68', '1080.61', '1091.44', '992.26', '776.36', '730.1', '817.61', '897.54', '946.85', '873.03', '894.43', '0']"
"['951.58', '1031.68', '1080.61', '1091.44', '992.26', '776.36', '730.1', '817.61', '897.54', '946.85', '873.03', '894.43', '881.59', '0']"
"['1031.68', '1080.61', '1091.44', '992.26', '776.36', '730.1', '817.61', '897.54', '946.85', '873.03', '894.43', '881.59', '859.13', '0']"
"['1080.61', '1091.44', '992.26', '776.36', '730.1', '817.61', '897.54', '946.85', '873.03', '894.43', '881.59', '859.13', '808.14', '0']"
"['1091.44', '992.26', '776.36', '730.1', '817.61', '897.54', '946.85', '873.03', '894.43', '881.59', '859.13', '808.14', '706.87', '0']"
"['992.26', '776.36', '730.1', '817.61', '897.54', '946.85', '873.03', '894.43', '881.59', '859.13', '808.14', '706.87', '623.38', '0']"
"['776.36', '730.1', '817.61', '897.54', '946.85', '873.03', '894.43', '881.59', '859.13', '808.14', '706.87', '623.38', '562.33', '1']"
"['730.1', '817.61', '897.54', '946.85', '873.03', '894.43', '881.59', '859.13', '808.14', '706.87', '623.38', '562.33', '694.1', '0']"
"['817.61', '897.54', '946.85', '873.03', '894.43', '881.59', '859.13', '808.14', '706.87', '623.38', '562.33', '694.1', '626.2', '0']"
"['897.54', '946.85', '873.03', '894.43', '881.59', '859.13', '808.14', '706.87', '623.38', '562.33', '694.1', '626.2', '624.07', '1']"
"['946.85', '873.03', '894.43', '881.59', '859.13', '808.14', '706.87', '623.38', '562.33', '694.1', '626.2', '624.07', '629.45', '1']"
"['873.03', '894.43', '881.59', '859.13', '808.14', '706.87', '623.38', '562.33', '694.1', '626.2', '624.07', '629.45', '663.41', '1']"
"['894.43', '881.59', '859.13', '808.14', '706.87', '623.38', '562.33', '694.1', '626.2', '624.07', '629.45', '663.41', '669.09', '1']"
"['881.59', '859.13', '808.14', '706.87', '623.38', '562.33', '694.1', '626.2', '624.07', '629.45', '663.41', '669.09', '702.13', '1']"
"['859.13', '808.14', '706.87', '623.38', '562.33', '694.1', '626.2', '624.07', '629.45', '663.41', '669.09', '702.13', '760.84', '0']"
"['808.14', '706.87', '623.38', '562.33', '694.1', '626.2', '624.07', '629.45', '663.41', '669.09', '702.13', '760.84', '734.62', '0']"
"['706.87', '623.38', '562.33', '694.1', '626.2', '624.07', '629.45', '663.41', '669.09', '702.13', '760.84', '734.62', '725.49', '1']"
"['623.38', '562.33', '694.1', '626.2', '624.07', '629.45', '663.41', '669.09', '702.13', '760.84', '734.62', '725.49', '742.42', '1']"
"['562.33', '694.1', '626.2', '624.07', '629.45', '663.41', '669.09', '702.13', '760.84', '734.62', '725.49', '742.42', '757.71', '1']"
"['694.1', '626.2', '624.07', '629.45', '663.41', '669.09', '702.13', '760.84', '734.62', '725.49', '742.42', '757.71', '760.91', '1']"
"['626.2', '624.07', '629.45', '663.41', '669.09', '702.13', '760.84', '734.62', '725.49', '742.42', '757.71', '760.91', '771.3', '1']"
"['624.07', '629.45', '663.41', '669.09', '702.13', '760.84', '734.62', '725.49', '742.42', '757.71', '760.91', '771.3', '811.47', '1']"
"['629.45', '663.41', '669.09', '702.13', '760.84', '734.62', '725.49', '742.42', '757.71', '760.91', '771.3', '811.47', '819.23', '1']"
"['663.41', '669.09', '702.13', '760.84', '734.62', '725.49', '742.42', '757.71', '760.91', '771.3', '811.47', '819.23', '864.65', '1']"
"['669.09', '702.13', '760.84', '734.62', '725.49', '742.42', '757.71', '760.91', '771.3', '811.47', '819.23', '864.65', '957.35', '0']"
"['702.13', '760.84', '734.62', '725.49', '742.42', '757.71', '760.91', '771.3', '811.47', '819.23', '864.65', '957.35', '939.27', '0']"
"['760.84', '734.62', '725.49', '742.42', '757.71', '760.91', '771.3', '811.47', '819.23', '864.65', '957.35', '939.27', '842.64', '1']"
"['734.62', '725.49', '742.42', '757.71', '760.91', '771.3', '811.47', '819.23', '864.65', '957.35', '939.27', '842.64', '843.84', '0']"
"['725.49', '742.42', '757.71', '760.91', '771.3', '811.47', '819.23', '864.65', '957.35', '939.27', '842.64', '843.84', '842.98', '1']"
"['742.42', '757.71', '760.91', '771.3', '811.47', '819.23', '864.65', '957.35', '939.27', '842.64', '843.84', '842.98', '888.05', '1']"
"['757.71', '760.91', '771.3', '811.47', '819.23', '864.65', '957.35', '939.27', '842.64', '843.84', '842.98', '888.05', '897.51', '0']"
"['760.91', '771.3', '811.47', '819.23', '864.65', '957.35', '939.27', '842.64', '843.84', '842.98', '888.05', '897.51', '857.75', '0']"
"['771.3', '811.47', '819.23', '864.65', '957.35', '939.27', '842.64', '843.84', '842.98', '888.05', '897.51', '857.75', '845.5', '0']"
"['811.47', '819.23', '864.65', '957.35', '939.27', '842.64', '843.84', '842.98', '888.05', '897.51', '857.75', '845.5', '834.26', '1']"
"['819.23', '864.65', '957.35', '939.27', '842.64', '843.84', '842.98', '888.05', '897.51', '857.75', '845.5', '834.26', '866.23', '0']"
"['864.65', '957.35', '939.27', '842.64', '843.84', '842.98', '888.05', '897.51', '857.75', '845.5', '834.26', '866.23', '845.19', '0']"
"['957.35', '939.27', '842.64', '843.84', '842.98', '888.05', '897.51', '857.75', '845.5', '834.26', '866.23', '845.19', '817.63', '1']"
"['939.27', '842.64', '843.84', '842.98', '888.05', '897.51', '857.75', '845.5', '834.26', '866.23', '845.19', '817.63', '837.4', '1']"
"['842.64', '843.84', '842.98', '888.05', '897.51', '857.75', '845.5', '834.26', '866.23', '845.19', '817.63', '837.4', '855.48', '1']"
"['843.84', '842.98', '888.05', '897.51', '857.75', '845.5', '834.26', '866.23', '845.19', '817.63', '837.4', '855.48', '874.82', '0']"
"['842.98', '888.05', '897.51', '857.75', '845.5', '834.26', '866.23', '845.19', '817.63', '837.4', '855.48', '874.82', '870.64', '0']"
"['888.05', '897.51', '857.75', '845.5', '834.26', '866.23', '845.19', '817.63', '837.4', '855.48', '874.82', '870.64', '853.58', '0']"
"['897.51', '857.75', '845.5', '834.26', '866.23', '845.19', '817.63', '837.4', '855.48', '874.82', '870.64', '853.58', '833.93', '0']"
"['857.75', '845.5', '834.26', '866.23', '845.19', '817.63', '837.4', '855.48', '874.82', '870.64', '853.58', '833.93', '805.12', '1']"
"['845.5', '834.26', '866.23', '845.19', '817.63', '837.4', '855.48', '874.82', '870.64', '853.58', '833.93', '805.12', '854.89', '1']"
"['834.26', '866.23', '845.19', '817.63', '837.4', '855.48', '874.82', '870.64', '853.58', '833.93', '805.12', '854.89', '887.98', '0']"
"['866.23', '845.19', '817.63', '837.4', '855.48', '874.82', '870.64', '853.58', '833.93', '805.12', '854.89', '887.98', '787.18', '1']"
"['845.19', '817.63', '837.4', '855.48', '874.82', '870.64', '853.58', '833.93', '805.12', '854.89', '887.98', '787.18', '825.6', '0']"
"['817.63', '837.4', '855.48', '874.82', '870.64', '853.58', '833.93', '805.12', '854.89', '887.98', '787.18', '825.6', '821.93', '1']"
"['837.4', '855.48', '874.82', '870.64', '853.58', '833.93', '805.12', '854.89', '887.98', '787.18', '825.6', '821.93', '822.31', '1']"
"['855.48', '874.82', '870.64', '853.58', '833.93', '805.12', '854.89', '887.98', '787.18', '825.6', '821.93', '822.31', '827.55', '1']"
"['874.82', '870.64', '853.58', '833.93', '805.12', '854.89', '887.98', '787.18', '825.6', '821.93', '822.31', '827.55', '846.43', '0']"
"['870.64', '853.58', '833.93', '805.12', '854.89', '887.98', '787.18', '825.6', '821.93', '822.31', '827.55', '846.43', '831.2', '0']"
"['853.58', '833.93', '805.12', '854.89', '887.98', '787.18', '825.6', '821.93', '822.31', '827.55', '846.43', '831.2', '809.57', '1']"
"['833.93', '805.12', '854.89', '887.98', '787.18', '825.6', '821.93', '822.31', '827.55', '846.43', '831.2', '809.57', '841.51', '0']"
"['805.12', '854.89', '887.98', '787.18', '825.6', '821.93', '822.31', '827.55', '846.43', '831.2', '809.57', '841.51', '815.39', '0']"
"['854.89', '887.98', '787.18', '825.6', '821.93', '822.31', '827.55', '846.43', '831.2', '809.57', '841.51', '815.39', '785.62', '0']"
"['887.98', '787.18', '825.6', '821.93', '822.31', '827.55', '846.43', '831.2', '809.57', '841.51', '815.39', '785.62', '715.76', '0']"
"['787.18', '825.6', '821.93', '822.31', '827.55', '846.43', '831.2', '809.57', '841.51', '815.39', '785.62', '715.76', '680.58', '1']"
"['825.6', '821.93', '822.31', '827.55', '846.43', '831.2', '809.57', '841.51', '815.39', '785.62', '715.76', '680.58', '687.89', '0']"
"['821.93', '822.31', '827.55', '846.43', '831.2', '809.57', '841.51', '815.39', '785.62', '715.76', '680.58', '687.89', '673.81', '0']"
"['822.31', '827.55', '846.43', '831.2', '809.57', '841.51', '815.39', '785.62', '715.76', '680.58', '687.89', '673.81', '662.36', '0']"
"['827.55', '846.43', '831.2', '809.57', '841.51', '815.39', '785.62', '715.76', '680.58', '687.89', '673.81', '662.36', '653.72', '0']"
"['846.43', '831.2', '809.57', '841.51', '815.39', '785.62', '715.76', '680.58', '687.89', '673.81', '662.36', '653.72', '614.82', '1']"
"['831.2', '809.57', '841.51', '815.39', '785.62', '715.76', '680.58', '687.89', '673.81', '662.36', '653.72', '614.82', '659.26', '0']"
"['809.57', '841.51', '815.39', '785.62', '715.76', '680.58', '687.89', '673.81', '662.36', '653.72', '614.82', '659.26', '648.36', '0']"
"['841.51', '815.39', '785.62', '715.76', '680.58', '687.89', '673.81', '662.36', '653.72', '614.82', '659.26', '648.36', '608.54', '1']"
"['815.39', '785.62', '715.76', '680.58', '687.89', '673.81', '662.36', '653.72', '614.82', '659.26', '648.36', '608.54', '624.95', '0']"
"['785.62', '715.76', '680.58', '687.89', '673.81', '662.36', '653.72', '614.82', '659.26', '648.36', '608.54', '624.95', '614.93', '1']"
"['715.76', '680.58', '687.89', '673.81', '662.36', '653.72', '614.82', '659.26', '648.36', '608.54', '624.95', '614.93', '622.34', '0']"
"['680.58', '687.89', '673.81', '662.36', '653.72', '614.82', '659.26', '648.36', '608.54', '624.95', '614.93', '622.34', '562.62', '1']"
"['687.89', '673.81', '662.36', '653.72', '614.82', '659.26', '648.36', '608.54', '624.95', '614.93', '622.34', '562.62', '568.16', '1']"
"['673.81', '662.36', '653.72', '614.82', '659.26', '648.36', '608.54', '624.95', '614.93', '622.34', '562.62', '568.16', '600.64', '0']"
"['662.36', '653.72', '614.82', '659.26', '648.36', '608.54', '624.95', '614.93', '622.34', '562.62', '568.16', '600.64', '594.46', '0']"
"['653.72', '614.82', '659.26', '648.36', '608.54', '624.95', '614.93', '622.34', '562.62', '568.16', '600.64', '594.46', '547.14', '0']"
"['614.82', '659.26', '648.36', '608.54', '624.95', '614.93', '622.34', '562.62', '568.16', '600.64', '594.46', '547.14', '529.19', '1']"
"['659.26', '648.36', '608.54', '624.95', '614.93', '622.34', '562.62', '568.16', '600.64', '594.46', '547.14', '529.19', '581', '0']"
"['648.36', '608.54', '624.95', '614.93', '622.34', '562.62', '568.16', '600.64', '594.46', '547.14', '529.19', '581', '579.03', '0']"
"['608.54', '624.95', '614.93', '622.34', '562.62', '568.16', '600.64', '594.46', '547.14', '529.19', '581', '579.03', '567.93', '0']"
"['624.95', '614.93', '622.34', '562.62', '568.16', '600.64', '594.46', '547.14', '529.19', '581', '579.03', '567.93', '565.62', '0']"
"['614.93', '622.34', '562.62', '568.16', '600.64', '594.46', '547.14', '529.19', '581', '579.03', '567.93', '565.62', '557.3', '1']"
"['622.34', '562.62', '568.16', '600.64', '594.46', '547.14', '529.19', '581', '579.03', '567.93', '565.62', '557.3', '662.28', '1']"
"['562.62', '568.16', '600.64', '594.46', '547.14', '529.19', '581', '579.03', '567.93', '565.62', '557.3', '662.28', '665', '0']"
"['568.16', '600.64', '594.46', '547.14', '529.19', '581', '579.03', '567.93', '565.62', '557.3', '662.28', '665', '655.51', '1']"
"['600.64', '594.46', '547.14', '529.19', '581', '579.03', '567.93', '565.62', '557.3', '662.28', '665', '655.51', '658.71', '0']"
"['594.46', '547.14', '529.19', '581', '579.03', '567.93', '565.62', '557.3', '662.28', '665', '655.51', '658.71', '627.36', '0']"
"['547.14', '529.19', '581', '579.03', '567.93', '565.62', '557.3', '662.28', '665', '655.51', '658.71', '627.36', '616.06', '1']"
"['529.19', '581', '579.03', '567.93', '565.62', '557.3', '662.28', '665', '655.51', '658.71', '627.36', '616.06', '637.04', '0']"
"['581', '579.03', '567.93', '565.62', '557.3', '662.28', '665', '655.51', '658.71', '627.36', '616.06', '637.04', '626.45', '1']"
"['579.03', '567.93', '565.62', '557.3', '662.28', '665', '655.51', '658.71', '627.36', '616.06', '637.04', '626.45', '629.08', '1']"
"['567.93', '565.62', '557.3', '662.28', '665', '655.51', '658.71', '627.36', '616.06', '637.04', '626.45', '629.08', '633.59', '1']"
"['565.62', '557.3', '662.28', '665', '655.51', '658.71', '627.36', '616.06', '637.04', '626.45', '629.08', '633.59', '639.1', '0']"
