104.52, 108.11, 111.43, 113.84, 22, 22, 23, 21, 0
108.11, 111.43, 113.84, 112.92, 22, 23, 21, 17, 0
111.43, 113.84, 112.92, 111.21, 23, 21, 17, 16, 1
113.84, 112.92, 111.21, 112.55, 21, 17, 16, 19, 1
112.92, 111.21, 112.55, 113.13, 17, 16, 19, 16, 1
111.21, 112.55, 113.13, 114.43, 16, 19, 16, 19, 1
112.55, 113.13, 114.43, 122.06, 19, 16, 19, 20, 0
113.13, 114.43, 122.06, 121.7, 16, 19, 20, 17, 0
114.43, 122.06, 121.7, 120.57, 19, 20, 17, 17, 1
122.06, 121.7, 120.57, 127.83, 20, 17, 17, 16, 1
121.7, 120.57, 127.83, 134.31, 17, 17, 16, 16, 0
120.57, 127.83, 134.31, 131.89, 17, 16, 16, 16, 1
127.83, 134.31, 131.89, 132.11, 16, 16, 16, 16, 1
134.31, 131.89, 132.11, 132.48, 16, 16, 16, 16, 0
131.89, 132.11, 132.48, 126.74, 16, 16, 16, 16, 0
132.11, 132.48, 126.74, 122.25, 16, 16, 16, 16, 0
132.48, 126.74, 122.25, 120.79, 16, 16, 16, 14, 1
126.74, 122.25, 120.79, 120.98, 16, 16, 14, 15, 1
122.25, 120.79, 120.98, 121.07, 16, 14, 15, 17, 1
120.79, 120.98, 121.07, 124.93, 14, 15, 17, 15, 1
120.98, 121.07, 124.93, 126.57, 15, 17, 15, 13, 1
121.07, 124.93, 126.57, 129, 17, 15, 13, 15, 1
124.93, 126.57, 129, 130.6, 15, 13, 15, 14, 0
126.57, 129, 130.6, 129.69, 13, 15, 14, 12, 0
129, 130.6, 129.69, 127.37, 15, 14, 12, 14, 1
130.6, 129.69, 127.37, 128.29, 14, 12, 14, 14, 0
129.69, 127.37, 128.29, 127.87, 12, 14, 14, 15, 1
127.37, 128.29, 127.87, 129.67, 14, 14, 15, 15, 0
128.29, 127.87, 129.67, 129.39, 14, 15, 15, 13, 0
127.87, 129.67, 129.39, 127.23, 15, 15, 13, 17, 0
129.67, 129.39, 127.23, 126.31, 15, 13, 17, 16, 0
129.39, 127.23, 126.31, 125.84, 13, 17, 16, 15, 1
127.23, 126.31, 125.84, 126.13, 17, 16, 15, 17, 0
126.31, 125.84, 126.13, 125.16, 16, 15, 17, 16, 1
125.84, 126.13, 125.16, 125.92, 15, 17, 16, 15, 1
126.13, 125.16, 125.92, 127.22, 17, 16, 15, 16, 1
125.16, 125.92, 127.22, 127.68, 16, 15, 16, 13, 1
125.92, 127.22, 127.68, 129.85, 15, 16, 13, 14, 1
127.22, 127.68, 129.85, 132.96, 16, 13, 14, 15, 0
127.68, 129.85, 132.96, 129.74, 13, 14, 15, 15, 1
129.85, 132.96, 129.74, 129.84, 14, 15, 15, 14, 0
132.96, 129.74, 129.84, 127.69, 15, 15, 14, 33, 0
129.74, 129.84, 127.69, 111.32, 15, 14, 33, 54, 1
129.84, 127.69, 111.32, 122.84, 14, 33, 54, 35, 1
127.69, 111.32, 122.84, 126.11, 33, 54, 35, 25, 0
111.32, 122.84, 126.11, 124.17, 54, 35, 25, 22, 1
122.84, 126.11, 124.17, 125.45, 35, 25, 22, 24, 0
126.11, 124.17, 125.45, 124.77, 25, 22, 24, 23, 1
124.17, 125.45, 124.77, 127.2, 22, 24, 23, 20, 1
125.45, 124.77, 127.2, 127.89, 24, 23, 20, 18, 1
124.77, 127.2, 127.89, 129.28, 23, 20, 18, 16, 1
127.2, 127.89, 129.28, 133.07, 20, 18, 16, 15, 0
127.89, 129.28, 133.07, 132.18, 18, 16, 15, 14, 1
129.28, 133.07, 132.18, 135.38, 16, 15, 14, 17, 1
133.07, 132.18, 135.38, 138.33, 15, 14, 17, 18, 1
132.18, 135.38, 138.33, 141.6, 14, 17, 18, 21, 1
135.38, 138.33, 141.6, 146.54, 17, 18, 21, 19, 1
138.33, 141.6, 146.54, 148.02, 18, 21, 19, 18, 1
141.6, 146.54, 148.02, 158.35, 21, 19, 18, 20, 1
146.54, 148.02, 158.35, 167.51, 19, 18, 20, 18, 1
148.02, 158.35, 167.51, 171.37, 18, 20, 18, 20, 1
158.35, 167.51, 171.37, 183.73, 20, 18, 20, 24, 1
167.51, 171.37, 183.73, 195.52, 18, 20, 24, 25, 1
171.37, 183.73, 195.52, 199.84, 20, 24, 25, 24, 0
183.73, 195.52, 199.84, 185.46, 24, 25, 24, 24, 0
195.52, 199.84, 185.46, 177.58, 25, 24, 24, 28, 1
199.84, 185.46, 177.58, 186.44, 24, 24, 28, 26, 1
185.46, 177.58, 186.44, 188.72, 24, 28, 26, 29, 1
