104.52, 108.11, 111.43, 113.84, 112.92, 
108.11, 111.43, 113.84, 112.92, 111.21, 
111.43, 113.84, 112.92, 111.21, 112.55, 
113.84, 112.92, 111.21, 112.55, 113.13, 
112.92, 111.21, 112.55, 113.13, 114.43, 
111.21, 112.55, 113.13, 114.43, 122.06, 
112.55, 113.13, 114.43, 122.06, 121.7, 
113.13, 114.43, 122.06, 121.7, 120.57, 
114.43, 122.06, 121.7, 120.57, 127.83, 
122.06, 121.7, 120.57, 127.83, 134.31, 
121.7, 120.57, 127.83, 134.31, 131.89, 
120.57, 127.83, 134.31, 131.89, 132.11, 
127.83, 134.31, 131.89, 132.11, 132.48, 
134.31, 131.89, 132.11, 132.48, 126.74, 
131.89, 132.11, 132.48, 126.74, 122.25, 
132.11, 132.48, 126.74, 122.25, 120.79, 
132.48, 126.74, 122.25, 120.79, 120.98, 
126.74, 122.25, 120.79, 120.98, 121.07, 
122.25, 120.79, 120.98, 121.07, 124.93, 
120.79, 120.98, 121.07, 124.93, 126.57, 
120.98, 121.07, 124.93, 126.57, 129, 
121.07, 124.93, 126.57, 129, 130.6, 
124.93, 126.57, 129, 130.6, 129.69, 
126.57, 129, 130.6, 129.69, 127.37, 
129, 130.6, 129.69, 127.37, 128.29, 
130.6, 129.69, 127.37, 128.29, 127.87, 
129.69, 127.37, 128.29, 127.87, 129.67, 
127.37, 128.29, 127.87, 129.67, 129.39, 
128.29, 127.87, 129.67, 129.39, 127.23, 
127.87, 129.67, 129.39, 127.23, 126.31, 
129.67, 129.39, 127.23, 126.31, 125.84, 
129.39, 127.23, 126.31, 125.84, 126.13, 
127.23, 126.31, 125.84, 126.13, 125.16, 
126.31, 125.84, 126.13, 125.16, 125.92, 
125.84, 126.13, 125.16, 125.92, 127.22, 
126.13, 125.16, 125.92, 127.22, 127.68, 
125.16, 125.92, 127.22, 127.68, 129.85, 
125.92, 127.22, 127.68, 129.85, 132.96, 
127.22, 127.68, 129.85, 132.96, 129.74, 
127.68, 129.85, 132.96, 129.74, 129.84, 
129.85, 132.96, 129.74, 129.84, 127.69, 
132.96, 129.74, 129.84, 127.69, 111.32, 
129.74, 129.84, 127.69, 111.32, 122.84, 
129.84, 127.69, 111.32, 122.84, 126.11, 
127.69, 111.32, 122.84, 126.11, 124.17, 
111.32, 122.84, 126.11, 124.17, 125.45, 
122.84, 126.11, 124.17, 125.45, 124.77, 
126.11, 124.17, 125.45, 124.77, 127.2, 
124.17, 125.45, 124.77, 127.2, 127.89, 
125.45, 124.77, 127.2, 127.89, 129.28, 
124.77, 127.2, 127.89, 129.28, 133.07, 
127.2, 127.89, 129.28, 133.07, 132.18, 
127.89, 129.28, 133.07, 132.18, 135.38, 
129.28, 133.07, 132.18, 135.38, 138.33, 
133.07, 132.18, 135.38, 138.33, 141.6, 
132.18, 135.38, 138.33, 141.6, 146.54, 
135.38, 138.33, 141.6, 146.54, 148.02, 
138.33, 141.6, 146.54, 148.02, 158.35, 
141.6, 146.54, 148.02, 158.35, 167.51, 
146.54, 148.02, 158.35, 167.51, 171.37, 
148.02, 158.35, 167.51, 171.37, 183.73, 
158.35, 167.51, 171.37, 183.73, 195.52, 
167.51, 171.37, 183.73, 195.52, 199.84, 
171.37, 183.73, 195.52, 199.84, 185.46, 
183.73, 195.52, 199.84, 185.46, 177.58, 
195.52, 199.84, 185.46, 177.58, 186.44, 
199.84, 185.46, 177.58, 186.44, 188.72, 
185.46, 177.58, 186.44, 188.72, 195.37, 
177.58, 186.44, 188.72, 195.37, 201.5, 
186.44, 188.72, 195.37, 201.5, 198.65, 
188.72, 195.37, 201.5, 198.65, 205.55, 
195.37, 201.5, 198.65, 205.55, 203.25, 
201.5, 198.65, 205.55, 203.25, 204.16, 
198.65, 205.55, 203.25, 204.16, 212.03, 
205.55, 203.25, 204.16, 212.03, 227.65, 
203.25, 204.16, 212.03, 227.65, 260.9, 
204.16, 212.03, 227.65, 260.9, 267.87, 
212.03, 227.65, 260.9, 267.87, 294.77, 
227.65, 260.9, 267.87, 294.77, 333.74, 
260.9, 267.87, 294.77, 333.74, 338.13, 
267.87, 294.77, 333.74, 338.13, 335.45, 
294.77, 333.74, 338.13, 335.45, 340.03, 
333.74, 338.13, 335.45, 340.03, 358.66, 
338.13, 335.45, 340.03, 358.66, 406.2, 
335.45, 340.03, 358.66, 406.2, 413.8, 
340.03, 358.66, 406.2, 413.8, 456.96, 
358.66, 406.2, 413.8, 456.96, 444.98, 
406.2, 413.8, 456.96, 444.98, 504.52, 
413.8, 456.96, 444.98, 504.52, 653.75, 
