227.65, 260.9, 267.87, 294.77, 333.74, 338.13, 335.45, 
260.9, 267.87, 294.77, 333.74, 338.13, 335.45, 340.03, 
267.87, 294.77, 333.74, 338.13, 335.45, 340.03, 358.66, 
294.77, 333.74, 338.13, 335.45, 340.03, 358.66, 406.2, 
333.74, 338.13, 335.45, 340.03, 358.66, 406.2, 413.8, 
338.13, 335.45, 340.03, 358.66, 406.2, 413.8, 456.96, 
335.45, 340.03, 358.66, 406.2, 413.8, 456.96, 444.98, 
340.03, 358.66, 406.2, 413.8, 456.96, 444.98, 504.52, 
358.66, 406.2, 413.8, 456.96, 444.98, 504.52, 653.75, 
406.2, 413.8, 456.96, 444.98, 504.52, 653.75, 545.07, 
413.8, 456.96, 444.98, 504.52, 653.75, 545.07, 644.17, 
456.96, 444.98, 504.52, 653.75, 545.07, 644.17, 694.61, 
444.98, 504.52, 653.75, 545.07, 644.17, 694.61, 772.31, 
504.52, 653.75, 545.07, 644.17, 694.61, 772.31, 768.95, 
653.75, 545.07, 644.17, 694.61, 772.31, 768.95, 773.23, 
545.07, 644.17, 694.61, 772.31, 768.95, 773.23, 853.12, 
644.17, 694.61, 772.31, 768.95, 773.23, 853.12, 901.68, 
694.61, 772.31, 768.95, 773.23, 853.12, 901.68, 963.83, 
772.31, 768.95, 773.23, 853.12, 901.68, 963.83, 1049.35, 
768.95, 773.23, 853.12, 901.68, 963.83, 1049.35, 1102.54, 
773.23, 853.12, 901.68, 963.83, 1049.35, 1102.54, 1094.99, 
853.12, 901.68, 963.83, 1049.35, 1102.54, 1094.99, 951.58, 
901.68, 963.83, 1049.35, 1102.54, 1094.99, 951.58, 1031.68, 
963.83, 1049.35, 1102.54, 1094.99, 951.58, 1031.68, 1080.61, 
1049.35, 1102.54, 1094.99, 951.58, 1031.68, 1080.61, 1091.44, 
1102.54, 1094.99, 951.58, 1031.68, 1080.61, 1091.44, 992.26, 
1094.99, 951.58, 1031.68, 1080.61, 1091.44, 992.26, 776.36, 
951.58, 1031.68, 1080.61, 1091.44, 992.26, 776.36, 730.1, 
1031.68, 1080.61, 1091.44, 992.26, 776.36, 730.1, 817.61, 
1080.61, 1091.44, 992.26, 776.36, 730.1, 817.61, 897.54, 
1091.44, 992.26, 776.36, 730.1, 817.61, 897.54, 946.85, 
992.26, 776.36, 730.1, 817.61, 897.54, 946.85, 873.03, 
776.36, 730.1, 817.61, 897.54, 946.85, 873.03, 894.43, 
730.1, 817.61, 897.54, 946.85, 873.03, 894.43, 881.59, 
817.61, 897.54, 946.85, 873.03, 894.43, 881.59, 859.13, 
897.54, 946.85, 873.03, 894.43, 881.59, 859.13, 808.14, 
946.85, 873.03, 894.43, 881.59, 859.13, 808.14, 706.87, 
873.03, 894.43, 881.59, 859.13, 808.14, 706.87, 623.38, 
894.43, 881.59, 859.13, 808.14, 706.87, 623.38, 562.33, 
881.59, 859.13, 808.14, 706.87, 623.38, 562.33, 694.1, 
859.13, 808.14, 706.87, 623.38, 562.33, 694.1, 626.2, 
808.14, 706.87, 623.38, 562.33, 694.1, 626.2, 624.07, 
706.87, 623.38, 562.33, 694.1, 626.2, 624.07, 629.45, 
623.38, 562.33, 694.1, 626.2, 624.07, 629.45, 663.41, 
562.33, 694.1, 626.2, 624.07, 629.45, 663.41, 669.09, 
694.1, 626.2, 624.07, 629.45, 663.41, 669.09, 702.13, 
626.2, 624.07, 629.45, 663.41, 669.09, 702.13, 760.84, 
624.07, 629.45, 663.41, 669.09, 702.13, 760.84, 734.62, 
629.45, 663.41, 669.09, 702.13, 760.84, 734.62, 725.49, 
663.41, 669.09, 702.13, 760.84, 734.62, 725.49, 742.42, 
669.09, 702.13, 760.84, 734.62, 725.49, 742.42, 757.71, 
702.13, 760.84, 734.62, 725.49, 742.42, 757.71, 760.91, 
760.84, 734.62, 725.49, 742.42, 757.71, 760.91, 771.3, 
734.62, 725.49, 742.42, 757.71, 760.91, 771.3, 811.47, 
725.49, 742.42, 757.71, 760.91, 771.3, 811.47, 819.23, 
742.42, 757.71, 760.91, 771.3, 811.47, 819.23, 864.65, 
757.71, 760.91, 771.3, 811.47, 819.23, 864.65, 957.35, 
760.91, 771.3, 811.47, 819.23, 864.65, 957.35, 939.27, 
771.3, 811.47, 819.23, 864.65, 957.35, 939.27, 842.64, 
811.47, 819.23, 864.65, 957.35, 939.27, 842.64, 843.84, 
819.23, 864.65, 957.35, 939.27, 842.64, 843.84, 842.98, 
864.65, 957.35, 939.27, 842.64, 843.84, 842.98, 888.05, 
957.35, 939.27, 842.64, 843.84, 842.98, 888.05, 897.51, 
939.27, 842.64, 843.84, 842.98, 888.05, 897.51, 857.75, 
842.64, 843.84, 842.98, 888.05, 897.51, 857.75, 845.5, 
843.84, 842.98, 888.05, 897.51, 857.75, 845.5, 834.26, 
842.98, 888.05, 897.51, 857.75, 845.5, 834.26, 866.23, 
888.05, 897.51, 857.75, 845.5, 834.26, 866.23, 845.19, 
897.51, 857.75, 845.5, 834.26, 866.23, 845.19, 817.63, 
857.75, 845.5, 834.26, 866.23, 845.19, 817.63, 837.4, 
845.5, 834.26, 866.23, 845.19, 817.63, 837.4, 855.48, 
834.26, 866.23, 845.19, 817.63, 837.4, 855.48, 874.82, 
866.23, 845.19, 817.63, 837.4, 855.48, 874.82, 870.64, 
845.19, 817.63, 837.4, 855.48, 874.82, 870.64, 853.58, 
817.63, 837.4, 855.48, 874.82, 870.64, 853.58, 833.93, 
837.4, 855.48, 874.82, 870.64, 853.58, 833.93, 805.12, 
855.48, 874.82, 870.64, 853.58, 833.93, 805.12, 854.89, 
874.82, 870.64, 853.58, 833.93, 805.12, 854.89, 887.98, 
870.64, 853.58, 833.93, 805.12, 854.89, 887.98, 787.18, 
853.58, 833.93, 805.12, 854.89, 887.98, 787.18, 825.6, 
833.93, 805.12, 854.89, 887.98, 787.18, 825.6, 821.93, 
805.12, 854.89, 887.98, 787.18, 825.6, 821.93, 822.31, 
854.89, 887.98, 787.18, 825.6, 821.93, 822.31, 827.55, 
887.98, 787.18, 825.6, 821.93, 822.31, 827.55, 846.43, 
787.18, 825.6, 821.93, 822.31, 827.55, 846.43, 831.2, 
825.6, 821.93, 822.31, 827.55, 846.43, 831.2, 809.57, 
821.93, 822.31, 827.55, 846.43, 831.2, 809.57, 841.51, 
822.31, 827.55, 846.43, 831.2, 809.57, 841.51, 815.39, 
827.55, 846.43, 831.2, 809.57, 841.51, 815.39, 785.62, 
846.43, 831.2, 809.57, 841.51, 815.39, 785.62, 715.76, 
831.2, 809.57, 841.51, 815.39, 785.62, 715.76, 680.58, 
809.57, 841.51, 815.39, 785.62, 715.76, 680.58, 687.89, 
841.51, 815.39, 785.62, 715.76, 680.58, 687.89, 673.81, 
