104.52, 108.11, 111.43, 113.84, 112.92, 22, 22, 23, 21, 17, 0
108.11, 111.43, 113.84, 112.92, 111.21, 22, 23, 21, 17, 16, 1
111.43, 113.84, 112.92, 111.21, 112.55, 23, 21, 17, 16, 19, 1
113.84, 112.92, 111.21, 112.55, 113.13, 21, 17, 16, 19, 16, 1
112.92, 111.21, 112.55, 113.13, 114.43, 17, 16, 19, 16, 19, 1
111.21, 112.55, 113.13, 114.43, 122.06, 16, 19, 16, 19, 20, 0
112.55, 113.13, 114.43, 122.06, 121.7, 19, 16, 19, 20, 17, 0
113.13, 114.43, 122.06, 121.7, 120.57, 16, 19, 20, 17, 17, 1
114.43, 122.06, 121.7, 120.57, 127.83, 19, 20, 17, 17, 16, 1
122.06, 121.7, 120.57, 127.83, 134.31, 20, 17, 17, 16, 16, 0
121.7, 120.57, 127.83, 134.31, 131.89, 17, 17, 16, 16, 16, 1
120.57, 127.83, 134.31, 131.89, 132.11, 17, 16, 16, 16, 16, 1
127.83, 134.31, 131.89, 132.11, 132.48, 16, 16, 16, 16, 16, 0
134.31, 131.89, 132.11, 132.48, 126.74, 16, 16, 16, 16, 16, 0
131.89, 132.11, 132.48, 126.74, 122.25, 16, 16, 16, 16, 16, 0
132.11, 132.48, 126.74, 122.25, 120.79, 16, 16, 16, 16, 14, 1
132.48, 126.74, 122.25, 120.79, 120.98, 16, 16, 16, 14, 15, 1
126.74, 122.25, 120.79, 120.98, 121.07, 16, 16, 14, 15, 17, 1
122.25, 120.79, 120.98, 121.07, 124.93, 16, 14, 15, 17, 15, 1
120.79, 120.98, 121.07, 124.93, 126.57, 14, 15, 17, 15, 13, 1
120.98, 121.07, 124.93, 126.57, 129, 15, 17, 15, 13, 15, 1
121.07, 124.93, 126.57, 129, 130.6, 17, 15, 13, 15, 14, 0
124.93, 126.57, 129, 130.6, 129.69, 15, 13, 15, 14, 12, 0
126.57, 129, 130.6, 129.69, 127.37, 13, 15, 14, 12, 14, 1
129, 130.6, 129.69, 127.37, 128.29, 15, 14, 12, 14, 14, 0
130.6, 129.69, 127.37, 128.29, 127.87, 14, 12, 14, 14, 15, 1
129.69, 127.37, 128.29, 127.87, 129.67, 12, 14, 14, 15, 15, 0
127.37, 128.29, 127.87, 129.67, 129.39, 14, 14, 15, 15, 13, 0
128.29, 127.87, 129.67, 129.39, 127.23, 14, 15, 15, 13, 17, 0
127.87, 129.67, 129.39, 127.23, 126.31, 15, 15, 13, 17, 16, 0
129.67, 129.39, 127.23, 126.31, 125.84, 15, 13, 17, 16, 15, 1
129.39, 127.23, 126.31, 125.84, 126.13, 13, 17, 16, 15, 17, 0
127.23, 126.31, 125.84, 126.13, 125.16, 17, 16, 15, 17, 16, 1
126.31, 125.84, 126.13, 125.16, 125.92, 16, 15, 17, 16, 15, 1
125.84, 126.13, 125.16, 125.92, 127.22, 15, 17, 16, 15, 16, 1
126.13, 125.16, 125.92, 127.22, 127.68, 17, 16, 15, 16, 13, 1
125.16, 125.92, 127.22, 127.68, 129.85, 16, 15, 16, 13, 14, 1
125.92, 127.22, 127.68, 129.85, 132.96, 15, 16, 13, 14, 15, 0
127.22, 127.68, 129.85, 132.96, 129.74, 16, 13, 14, 15, 15, 1
127.68, 129.85, 132.96, 129.74, 129.84, 13, 14, 15, 15, 14, 0
129.85, 132.96, 129.74, 129.84, 127.69, 14, 15, 15, 14, 33, 0
132.96, 129.74, 129.84, 127.69, 111.32, 15, 15, 14, 33, 54, 1
129.74, 129.84, 127.69, 111.32, 122.84, 15, 14, 33, 54, 35, 1
129.84, 127.69, 111.32, 122.84, 126.11, 14, 33, 54, 35, 25, 0
127.69, 111.32, 122.84, 126.11, 124.17, 33, 54, 35, 25, 22, 1
111.32, 122.84, 126.11, 124.17, 125.45, 54, 35, 25, 22, 24, 0
122.84, 126.11, 124.17, 125.45, 124.77, 35, 25, 22, 24, 23, 1
126.11, 124.17, 125.45, 124.77, 127.2, 25, 22, 24, 23, 20, 1
124.17, 125.45, 124.77, 127.2, 127.89, 22, 24, 23, 20, 18, 1
125.45, 124.77, 127.2, 127.89, 129.28, 24, 23, 20, 18, 16, 1
124.77, 127.2, 127.89, 129.28, 133.07, 23, 20, 18, 16, 15, 0
127.2, 127.89, 129.28, 133.07, 132.18, 20, 18, 16, 15, 14, 1
127.89, 129.28, 133.07, 132.18, 135.38, 18, 16, 15, 14, 17, 1
