104.52, 108.11, 111.43, 113.84, 112.92, 111.21, 112.55, 113.13, 114.43, 122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 130.6, 22, 22, 23, 21, 17, 16, 19, 16, 19, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 14, 0
108.11, 111.43, 113.84, 112.92, 111.21, 112.55, 113.13, 114.43, 122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 130.6, 129.69, 22, 23, 21, 17, 16, 19, 16, 19, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 14, 12, 0
111.43, 113.84, 112.92, 111.21, 112.55, 113.13, 114.43, 122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 130.6, 129.69, 127.37, 23, 21, 17, 16, 19, 16, 19, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 14, 12, 14, 1
113.84, 112.92, 111.21, 112.55, 113.13, 114.43, 122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 130.6, 129.69, 127.37, 128.29, 21, 17, 16, 19, 16, 19, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 14, 12, 14, 14, 0
112.92, 111.21, 112.55, 113.13, 114.43, 122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 130.6, 129.69, 127.37, 128.29, 127.87, 17, 16, 19, 16, 19, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 14, 12, 14, 14, 15, 1
111.21, 112.55, 113.13, 114.43, 122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 130.6, 129.69, 127.37, 128.29, 127.87, 129.67, 16, 19, 16, 19, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 14, 12, 14, 14, 15, 15, 0
112.55, 113.13, 114.43, 122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 130.6, 129.69, 127.37, 128.29, 127.87, 129.67, 129.39, 19, 16, 19, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 14, 12, 14, 14, 15, 15, 13, 0
113.13, 114.43, 122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 130.6, 129.69, 127.37, 128.29, 127.87, 129.67, 129.39, 127.23, 16, 19, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 14, 12, 14, 14, 15, 15, 13, 17, 0
114.43, 122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 130.6, 129.69, 127.37, 128.29, 127.87, 129.67, 129.39, 127.23, 126.31, 19, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 14, 12, 14, 14, 15, 15, 13, 17, 16, 0
122.06, 121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 130.6, 129.69, 127.37, 128.29, 127.87, 129.67, 129.39, 127.23, 126.31, 125.84, 20, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 14, 12, 14, 14, 15, 15, 13, 17, 16, 15, 1
121.7, 120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 130.6, 129.69, 127.37, 128.29, 127.87, 129.67, 129.39, 127.23, 126.31, 125.84, 126.13, 17, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 14, 12, 14, 14, 15, 15, 13, 17, 16, 15, 17, 0
120.57, 127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 130.6, 129.69, 127.37, 128.29, 127.87, 129.67, 129.39, 127.23, 126.31, 125.84, 126.13, 125.16, 17, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 14, 12, 14, 14, 15, 15, 13, 17, 16, 15, 17, 16, 1
127.83, 134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 130.6, 129.69, 127.37, 128.29, 127.87, 129.67, 129.39, 127.23, 126.31, 125.84, 126.13, 125.16, 125.92, 16, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 14, 12, 14, 14, 15, 15, 13, 17, 16, 15, 17, 16, 15, 1
134.31, 131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 130.6, 129.69, 127.37, 128.29, 127.87, 129.67, 129.39, 127.23, 126.31, 125.84, 126.13, 125.16, 125.92, 127.22, 16, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 14, 12, 14, 14, 15, 15, 13, 17, 16, 15, 17, 16, 15, 16, 1
131.89, 132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 130.6, 129.69, 127.37, 128.29, 127.87, 129.67, 129.39, 127.23, 126.31, 125.84, 126.13, 125.16, 125.92, 127.22, 127.68, 16, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 14, 12, 14, 14, 15, 15, 13, 17, 16, 15, 17, 16, 15, 16, 13, 1
132.11, 132.48, 126.74, 122.25, 120.79, 120.98, 121.07, 124.93, 126.57, 129, 130.6, 129.69, 127.37, 128.29, 127.87, 129.67, 129.39, 127.23, 126.31, 125.84, 126.13, 125.16, 125.92, 127.22, 127.68, 129.85, 16, 16, 16, 16, 14, 15, 17, 15, 13, 15, 14, 12, 14, 14, 15, 15, 13, 17, 16, 15, 17, 16, 15, 16, 13, 14, 1
